"7","江苏首智新能源技术有限公司","基础软件开发工程师","苏州-昆山","8千-1.5万"
"8","苏州高景科技有限公司","ERP程序开发","苏州","1万-2万"
"9","叁技科技(江苏)有限公司","软件开发工程师","苏州-吴中","8千-1万"
"10","苏州索拉科技有限公司","软件开发工程师","苏州-姑苏","7千-1.4万"
"11","数为科技(苏州)有限公司","java开发经理","苏州-吴中","2万-2.3万"
"12","苏州澜途科技有限公司","Java开发工程师","苏州-相城","1.5万-2.5万"
"13","探海科技","软件工程师","苏州","6千-1.2万"
"14","苏州城方信息技术有限公司",".net高级开发工程师","苏州-吴中","1万-2万"
"15","浙江艾罗网络能源技术股份有限公司","嵌入式软件工程师（应届生）","苏州-吴中","1万-2万"
"16","同济人工智能研究院(苏州)有限公司","软件研发助理","苏州-相城","7千-1万"
"17","斑马(昆山)智能信息科技有限公司",".net中级开发工程师","苏州-昆山","8千-1.5万"
"18","软通动力信息技术(集团)股份有限公司","JAVA开发（邮储银行）","苏州-吴中","1.3万-2万"
